City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Oshikango,NA,2022-05-18 20:30:27,-17.4,15.8833,63.97,35,0,7.07
256,Minjur,IN,2022-05-18 20:30:27,13.2667,80.2667,86.02,72,100,15.3
257,Pisco,PE,2022-05-18 20:27:17,-13.7,-76.2167,69.85,68,20,11.5
258,Sao Jose Da Coroa Grande,BR,2022-05-18 20:30:28,-8.8978,-35.1478,79.21,83,41,9.78
259,Yumen,CN,2022-05-18 20:30:28,40.2833,97.2,61.32,34,60,3.2
260,Chifeng,CN,2022-05-18 20:30:29,42.2683,118.9636,59.81,32,2,7.2
261,Chimala,TZ,2022-05-18 20:30:29,-8.85,34.0167,60.46,82,80,3.65
262,Shache,CN,2022-05-18 20:30:30,38.4167,77.2406,71.15,19,84,6.87
263,Terrace,CA,2022-05-18 20:30:30,54.5163,-128.6035,55.31,50,100,3.44
264,Chara,RU,2022-05-18 20:30:31,56.9064,118.2631,44.13,92,100,1.19
265,Sinnamary,GF,2022-05-18 20:31:31,5.3833,-52.95,80.19,81,95,9.4
266,Stephenville,US,2022-05-18 20:31:32,32.2207,-98.2023,99.77,18,0,17.27
267,Srednekolymsk,RU,2022-05-18 20:31:32,67.45,153.6833,42.01,74,34,6.62
268,Hambantota,LK,2022-05-18 20:31:33,6.1241,81.1185,80.29,83,6,19.77
269,San Isidro,PE,2022-05-18 20:31:33,-12.1167,-77.05,69.39,64,0,10.36
270,Samarai,PG,2022-05-18 20:31:33,-10.6167,150.6667,81.43,76,25,8.1
271,Klaksvik,FO,2022-05-18 20:31:34,62.2266,-6.589,49.12,93,64,17.67
272,Amapa,BR,2022-05-18 20:31:34,1.0,-52.0,73.44,99,100,2.53
273,Ust-Barguzin,RU,2022-05-18 20:31:35,53.45,108.9833,45.01,72,40,1.99
274,Jesus Carranza,MX,2022-05-18 20:31:35,17.4333,-95.0333,104.74,18,83,6.51
275,Luanda,AO,2022-05-18 20:28:15,-8.8368,13.2343,75.27,86,0,9.01
276,Ostrovnoy,RU,2022-05-18 20:31:36,68.0531,39.5131,32.34,91,100,10.18
277,Grand Gaube,MU,2022-05-18 20:31:36,-20.0064,57.6608,75.6,76,50,1.99
278,Panaba,MX,2022-05-18 20:31:37,21.2833,-88.2667,91.29,41,86,19.22
279,La Sarre,CA,2022-05-18 20:31:37,48.8002,-79.1996,58.82,37,96,9.44
280,Copiapo,CL,2022-05-18 20:26:43,-27.3667,-70.3333,56.89,37,0,8.88
281,Chuy,UY,2022-05-18 20:31:38,-33.6971,-53.4616,55.67,79,33,13.51
282,Nouakchott,MR,2022-05-18 20:31:38,18.0858,-15.9785,75.13,55,95,18.63
283,Ancud,CL,2022-05-18 20:31:39,-41.8697,-73.8203,52.12,70,100,0.83
284,Mount Gambier,AU,2022-05-18 20:31:39,-37.8333,140.7667,47.35,88,32,1.81
285,Cikupa,ID,2022-05-18 20:31:39,-6.2364,106.5083,79.36,87,61,2.98
286,Zhigansk,RU,2022-05-18 20:31:40,66.7697,123.3711,30.61,97,96,12.46
287,Kruisfontein,ZA,2022-05-18 20:31:40,-34.0033,24.7314,68.88,73,36,6.4
288,Tazovskiy,RU,2022-05-18 20:31:41,67.4667,78.7,28.11,89,24,3.38
289,Bocanda,CI,2022-05-18 20:31:41,7.0626,-4.4995,77.97,85,28,7.72
290,Saint George,US,2022-05-18 20:31:42,37.1041,-113.5841,95.79,15,0,8.05
291,Mbini,GQ,2022-05-18 20:31:42,1.574,9.6134,78.8,87,88,7.76
292,Lata,PT,2022-05-18 20:31:43,40.1629,-8.3327,63.91,82,8,2.95
